
=====[ POSLOWIE ]=====
Lacznie: 498
Kobiety: 153
Mezczyzni: 345
Polskie znaki w nazwisku: 147
Wieloczlonowe imie: 46
Wieloczlonowe nazwisko: 25



imie	nazwisko	plec	polskie_znaki	wieloczlonowe_imie	wieloczlonowe_nazwisko
          Maria Joanna           Koźlakiewicz    k           True                True                   False
              Jarosław              Krajewski    m          False               False                   False
                Stefan              Krajewski    m          False               False                   False
               Wiesław              Krajewski    m          False               False                   False
               Leonard              Krasulski    m          False               False                   False
      Iwona Małgorzata               Krawczyk    k          False                True                   False
                Michał               Krawczyk    m          False               False                   False
                Robert            Kropiwnicki    m          False               False                   False
                 Piotr                   Król    m           True               False                   False
              Wojciech                   Król    m           True               False                   False
             Katarzyna                 Królak    k           True               False                   False
                  Anna                 Krupka    k          False               False                   False
               Andrzej                   Kryj    m          False               False                   False
               Mariusz               Krystian    m          False               False                   False
                 Marek               Krząkała    m           True               False                   False
                  Adam             Krzemiński    m           True               False                   False
               Henryka  Krzywonos-Strycharska    k          False               False                    True
             Krzysztof                  Kubów    m           True               False                   False
                 Anita     Kucharska-Dziedzic    k          False               False                    True
                 Marek             Kuchciński    m           True               False                   False
                 Paweł                  Kukiz    m          False               False                   False
                Marcin                Kulasek    m          False               False                   False
        Wioletta Maria                  Kulpa    k          False                True                   False
                 Maria               Kurowska    k          False               False                   False
             Władysław               Kurowski    m          False               False                   False
    Zbigniew Krzysztof                Kuźmiuk    m           True                True                   False
                  Anna               Kwiecień    k           True               False                   False
                 Piotr              Lachowicz    m          False               False                   False
             Stanisław                Lamczyk    m          False               False                   False
                Maciej                  Lasek    m          False               False                   False
              Gabriela            Lenartowicz    k          False               False                   False
                   Ewa                Leniart    k          False               False                   False
            Aleksandra                    Leo    k          False               False                   False
               Izabela              Leszczyna    k          False               False                   False
                Joanna               Lichocka    k          False               False                   False
             Krzysztof                 Lipiec    m          False               False                   False
                Bożena               Lisowska    k          False               False                   False
                Łukasz                Litewka    m          False               False                   False
              Grzegorz                  Lorek    m          False               False                   False
              Radosław                Lubczyk    m          False               False                   False
        Katarzyna Anna               Lubnauer    k          False                True                   False
                  Adam               Luboński    m           True               False                   False
        Artur Jarosław                  Łącki    m           True                True                   False
                Alicja        Łepkowska-Gołaś    k           True               False                    True
                Dorota                 Łoboda    k           True               False                   False
             Magdalena                  Łośko    k           True               False                   False
                Alicja                 Łuczak    k           True               False                   False
              Krystian                 Łuczak    m           True               False                   False
             Sebastian            Łukaszewicz    m           True               False                   False
          Marzena Anna               Machałek    k           True                True                   False
                Antoni            Macierewicz    m          False               False                   False
              Grzegorz                  Macko    m          False               False                   False
     Marlena Magdalena                  Maląg    k           True                True                   False
                   Ewa                  Malik    k          False               False                   False
              Mirosław            Maliszewski    m          False               False                   False
                Maciej                Małecki    m           True               False                   False
             Arkadiusz              Marchewka    m          False               False                   False
                 Jagna   Marczułajtis-Walczak    k           True               False                    True
                Dorota                  Marek    k          False               False                   False
                 Paweł                Masełko    m           True               False                   False
               Dariusz                Matecki    m          False               False                   False
                 Jerzy                Materna    m          False               False                   False
              Grzegorz               Matusiak    m          False               False                   False
             Katarzyna         Matusik-Lipiec    k          False               False                    True
                 Marek            Matuszewski    m          False               False                   False
               Paulina               Matysiak    k          False               False                   False
                Łukasz                  Mejza    m          False               False                   False
              Sławomir                Mentzen    m          False               False                   False
                 Jerzy            Meysztowicz    m          False               False                   False
             Krzysztof            Mieszkowski    m          False               False                   False
                  Anna           Milczanowska    k          False               False                   False
                Daniel               Milewski    m          False               False                   False
               Rajmund                 Miller    m          False               False                   False
            Aleksander              Miszalski    m          False               False                   False
               Mateusz             Morawiecki    m          False               False                   False
                   Jan               Mosiński    m           True               False                   False
                Michał                 Moskal    m          False               False                   False
               Czesław                Mroczek    m          False               False                   False
    Aleksander Mikołaj            Mrówczyński    m           True                True                   False
     Izabela Katarzyna             Mrzygłocka    k           True                True                   False
                Joanna                  Mucha    k          False               False                   False
